       sample #	     V5	   MLII
              0	   1015	   1027
              1	   1015	   1027
              2	   1015	   1027
              3	   1015	   1027
              4	   1015	   1027
              5	   1015	   1027
              6	   1015	   1027
              7	   1015	   1027
              8	   1015	   1027
              9	   1015	   1032
             10	   1022	   1037
             11	   1024	   1038
             12	   1021	   1039
             13	   1019	   1040
             14	   1022	   1045
             15	   1024	   1051
             16	   1028	   1056
             17	   1028	   1056
             18	   1026	   1057
             19	   1023	   1058
             20	   1024	   1065
             21	   1023	   1066
             22	   1024	   1069
             23	   1025	   1068
             24	   1022	   1066
             25	   1016	   1061
             26	   1015	   1062
             27	   1013	   1063
             28	   1015	   1063
             29	   1011	   1060
             30	   1009	   1053
             31	   1004	   1049
             32	   1002	   1047
             33	    999	   1050
             34	   1003	   1049
             35	    998	   1044
             36	    995	   1039
             37	    993	   1035
             38	    989	   1036
             39	    991	   1036
             40	    991	   1036
             41	    989	   1034
             42	    988	   1028
             43	    984	   1029
             44	    979	   1028
             45	    982	   1029
             46	    983	   1032
             47	    979	   1028
             48	    980	   1027
             49	    977	   1023
             50	    977	   1024
             51	    979	   1027
             52	    978	   1029
             53	    981	   1028
             54	    981	   1027
             55	    973	   1023
             56	    975	   1024
             57	    976	   1025
             58	    976	   1027
             59	    977	   1025
             60	    975	   1024
             61	    972	   1023
             62	    975	   1024
             63	    975	   1026
             64	    978	   1028
             65	    978	   1022
             66	    978	   1020
             67	    975	   1020
             68	    974	   1018
             69	    977	   1024
             70	    978	   1026
             71	    977	   1022
             72	    977	   1020
             73	    972	   1017
             74	    970	   1019
             75	    973	   1019
             76	    978	   1023
             77	    977	   1022
             78	    978	   1019
             79	    973	   1016
             80	    973	   1018
             81	    973	   1021
             82	    976	   1019
             83	    977	   1020
             84	    974	   1016
             85	    972	   1016
             86	    972	   1017
             87	    972	   1019
             88	    976	   1021
             89	    979	   1018
             90	    977	   1016
             91	    973	   1015
             92	    973	   1019
             93	    975	   1020
             94	    979	   1023
